Symbol,Date,Open,High,Low,Close,AdjClose,Volume
TSLA,2018-11-12,348.37,349.78,330.34,331.28,22.0853333333,6941523
TSLA,2018-11-13,333.16,344.7,332.2,338.73,22.582,5448597
TSLA,2018-11-14,342.7,347.11,337.15,344.0,22.9333333333,5040287
TSLA,2018-11-15,342.33,348.58,339.04,348.44,23.2293333333,4625719
TSLA,2018-11-16,345.19,355.7,345.12,354.31,23.6206666667,7206191
TSLA,2018-11-19,356.34,366.75,352.88,353.47,23.5646666667,9708871
TSLA,2018-11-20,341.75,349.8,333.55,347.49,23.166,8004709
TSLA,2018-11-21,352.0,353.1,337.4,338.19,22.546,4686808
TSLA,2018-11-23,334.345,337.5,325.55,325.83,21.722,4202642
TSLA,2018-11-26,325.0,346.22,325.0,346.0,23.0666666667,7992141
TSLA,2018-11-27,340.05,346.96,335.5,343.92,22.928,6358300
TSLA,2018-11-28,345.99,348.28,342.21,347.87,23.1913333333,4127578
TSLA,2018-11-29,347.0,347.5,339.55,341.17,22.7446666667,3080724
TSLA,2018-11-30,341.83,351.6,338.26,350.48,23.3653333333,5628895
TSLA,2018-12-03,360.0,366.0,352.0,358.49,23.8993333333,8306511
TSLA,2018-12-04,356.05,368.68,352.0,359.7,23.98,8461945
TSLA,2018-12-06,356.01,367.38,350.76,363.06,24.204,7842508
TSLA,2018-12-07,369.0,379.49,357.65,357.97,23.8646666667,11511177
TSLA,2018-12-10,360.0,365.98,353.12,365.15,24.3433333333,6613455
TSLA,2018-12-11,369.91,372.17,360.23,366.76,24.4506666667,6308769
TSLA,2018-12-12,369.42,371.91,365.16,366.6,24.44,5027048
TSLA,2018-12-13,370.15,377.44,366.75,376.79,25.1193333333,7365854
TSLA,2018-12-14,375.0,377.87,364.33,365.71,24.3806666667,6337555
TSLA,2018-12-17,362.0,365.7,343.88,348.42,23.228,7674008
TSLA,2018-12-18,350.54,351.55,333.69,337.03,22.4686666667,7099999
TSLA,2018-12-19,337.6,347.01,329.74,332.97,22.198,8274181
TSLA,2018-12-20,327.05,330.29,311.87,315.38,21.0253333333,9071858
TSLA,2018-12-21,317.4,323.47,312.44,319.77,21.318,8016801
TSLA,2018-12-24,313.5,314.5,295.2,295.39,19.6926666667,5559913
TSLA,2018-12-26,300.0,326.97,294.09,326.09,21.7393333333,8163138
TSLA,2018-12-27,319.84,322.17,301.5,316.13,21.0753333333,8575133
TSLA,2018-12-28,323.1,336.24,318.41,333.87,22.258,9938992
TSLA,2018-12-31,337.79,339.21,325.26,332.8,22.1866666667,6302338
TSLA,2019-01-02,306.1,315.13,298.8,310.12,20.6746666667,11658648
TSLA,2019-01-03,307.0,309.4,297.38,300.36,20.024,6965184
TSLA,2019-01-04,306.0,318.0,302.73,317.69,21.1793333333,7394116
TSLA,2019-01-07,321.72,336.74,317.75,334.96,22.3306666667,7551225
TSLA,2019-01-08,341.96,344.01,327.02,335.35,22.3566666667,7008516
TSLA,2019-01-09,335.5,343.5,331.47,338.53,22.5686666667,5432945
TSLA,2019-01-10,334.4,345.39,331.79,344.97,22.998,6056354
TSLA,2019-01-11,342.09,348.41,338.77,347.26,23.1506666667,5039052
TSLA,2019-01-14,342.38,342.5,334.0,334.4,22.2933333333,5247284
TSLA,2019-01-15,335.0,348.8,334.5,344.43,22.962,6056590
TSLA,2019-01-16,344.78,352.0,343.5,346.05,23.07,4691739
TSLA,2019-01-17,346.21,351.5,344.15,347.31,23.154,3676733
TSLA,2019-01-18,323.0,327.13,299.73,302.26,20.1506666667,24150763
TSLA,2019-01-22,304.82,308.0,295.5,298.92,19.928,12066741
TSLA,2019-01-23,292.5,294.5,281.69,287.59,19.1726666667,12529993
TSLA,2019-01-24,283.03,293.68,279.28,291.51,19.434,8012155
TSLA,2019-01-25,294.39,298.52,289.55,297.04,19.8026666667,7258078
TSLA,2019-01-28,292.91,297.46,287.75,296.38,19.7586666667,6423279
TSLA,2019-01-29,295.27,298.56,291.8,297.46,19.8306666667,4621692
TSLA,2019-01-30,300.45,309.0,298.49,308.77,20.5846666667,11250318
TSLA,2019-01-31,301.0,311.56,294.0,307.02,20.468,12569245
TSLA,2019-02-01,305.42,316.1,303.5,312.21,20.814,7283441
TSLA,2019-02-04,312.98,315.3,301.88,312.89,20.8593333333,7352082
TSLA,2019-02-05,312.49,322.44,312.25,321.35,21.4233333333,6742765
TSLA,2019-02-06,319.59,324.24,315.62,317.22,21.148,5038546
TSLA,2019-02-07,313.3,314.7,303.0,307.51,20.5006666667,6520611
TSLA,2019-02-08,306.83,307.45,298.5,305.8,20.3866666667,5844212
TSLA,2019-02-11,311.6,318.6,310.5,312.84,20.856,7129713
TSLA,2019-02-12,316.2,318.19,309.62,311.81,20.7873333333,5517570
TSLA,2019-02-13,312.35,312.75,305.57,308.17,20.5446666667,5141617
TSLA,2019-02-14,303.38,306.77,301.0,303.77,20.2513333333,5200832
TSLA,2019-02-15,304.5,308.0,303.9,307.88,20.5253333333,3904947
TSLA,2019-02-19,306.56,311.54,305.47,305.64,20.376,4168443
TSLA,2019-02-20,304.41,306.3,299.0,302.56,20.1706666667,7142117
TSLA,2019-02-21,301.81,303.2399,290.5,291.23,19.4153333333,8909182
TSLA,2019-02-22,294.49,296.5,292.1,294.71,19.6473333333,5740558
TSLA,2019-02-25,297.91,302.9,297.0,298.77,19.918,6626522
TSLA,2019-02-26,292.22,302.01,288.77,297.86,19.8573333333,8582535
TSLA,2019-02-27,301.78,316.3,300.55,314.74,20.9826666667,11183908
TSLA,2019-02-28,318.92,320.0,310.81,319.88,21.3253333333,10520653
TSLA,2019-03-01,306.94,307.13,291.9,294.79,19.6526666667,22911375
TSLA,2019-03-04,298.12,299.0,282.78,285.36,19.024,17096818
TSLA,2019-03-05,282.0,284.0,270.1,276.54,18.436,18764740
TSLA,2019-03-06,276.48,281.51,274.39,276.24,18.416,10335485
TSLA,2019-03-07,278.84,284.7,274.25,276.59,18.4393333333,9442483
TSLA,2019-03-08,276.91,285.59,275.89,284.14,18.9426666667,8819625
TSLA,2019-03-11,283.52,291.28,280.5,290.92,19.3946666667,7392278
TSLA,2019-03-12,286.49,288.07,281.06,283.36,18.8906666667,7504137
TSLA,2019-03-13,283.9,291.99,282.7,288.96,19.264,6844719
TSLA,2019-03-14,292.45,295.39,288.29,289.96,19.3306666667,7103447
TSLA,2019-03-15,283.51,283.72,274.4,275.43,18.362,14785531
TSLA,2019-03-18,276.0,278.05,267.3,269.49,17.966,10280980
TSLA,2019-03-19,267.5,273.3,263.46,267.47,17.8313333333,11800630
TSLA,2019-03-20,269.69,274.97,266.3,273.6,18.24,6908224
TSLA,2019-03-21,272.6,276.45,268.45,274.02,18.268,5947098
TSLA,2019-03-22,272.58,272.8,264.0,264.53,17.6353333333,8745609
TSLA,2019-03-25,259.71,263.18,254.46,260.42,17.3613333333,10215029
TSLA,2019-03-26,264.44,270.26,264.43,267.77,17.8513333333,7350948
TSLA,2019-03-27,268.75,275.37,268.18,274.83,18.322,8779166
TSLA,2019-03-28,277.16,280.33,275.1,278.62,18.5746666667,6774093
TSLA,2019-03-29,278.7,280.16,274.5,279.86,18.6573333333,5991338
TSLA,2019-04-01,282.62,289.2,281.28,289.18,19.2786666667,8110439
TSLA,2019-04-02,288.3,289.44,283.88,285.88,19.0586666667,5478940
TSLA,2019-04-03,287.32,296.17,287.17,291.81,19.454,7929864
TSLA,2019-04-04,261.89,271.2,260.59,267.78,17.852,23720729
TSLA,2019-04-05,269.86,276.1,266.11,274.96,18.3306666667,13038257
TSLA,2019-04-08,277.69,281.16,270.44,273.2,18.2133333333,10410436
TSLA,2019-04-09,271.65,275.0,269.61,272.31,18.154,5904031
TSLA,2019-04-10,276.74,278.38,272.89,276.06,18.404,7061314
TSLA,2019-04-11,268.3,270.5,265.6,268.42,17.8946666667,9835927
TSLA,2019-04-12,270.22,271.95,266.83,267.7,17.8466666667,6745974
TSLA,2019-04-15,268.63,268.88,258.63,266.38,17.7586666667,10038579
TSLA,2019-04-16,265.75,275.0,264.72,273.36,18.224,7272930
TSLA,2019-04-17,274.75,274.79,268.54,271.23,18.082,5126468
TSLA,2019-04-18,271.23,274.84,269.75,273.26,18.2173333333,5876325
TSLA,2019-04-22,269.0,269.68,262.48,262.75,17.5166666667,12147141
TSLA,2019-04-23,260.15,265.6,255.75,263.9,17.5933333333,10943859
TSLA,2019-04-24,263.85,265.32,258.0,258.66,17.244,10727454
TSLA,2019-04-25,255.0,259.0,246.07,247.63,16.5086666667,21849393
TSLA,2019-04-26,246.5,246.68,231.13,235.14,15.676,22360709
TSLA,2019-04-29,235.86,243.98,232.17,241.47,16.098,16714476
TSLA,2019-04-30,242.06,244.21,237.0,238.69,15.9126666667,9464628
TSLA,2019-05-01,238.85,240.0,231.5,234.01,15.6006666667,10704354
TSLA,2019-05-02,245.52,247.13,237.72,244.1,16.2733333333,18159339
TSLA,2019-05-03,243.86,256.61,243.49,255.03,17.002,23706771
TSLA,2019-05-06,250.02,258.35,248.5,255.34,17.0226666667,10833943
TSLA,2019-05-07,256.8,257.21,245.1,247.06,16.4706666667,10131408
TSLA,2019-05-08,246.94,250.6,244.2,244.84,16.3226666667,6176440
TSLA,2019-05-09,242.0,243.68,236.94,241.98,16.132,6711382
TSLA,2019-05-10,239.75,241.99,236.02,239.52,15.968,7008336
TSLA,2019-05-13,232.01,232.47,224.5,227.01,15.134,10834796
TSLA,2019-05-14,229.3,234.5,228.0,232.31,15.4873333333,7252412
TSLA,2019-05-15,229.32,232.44,225.25,231.95,15.4633333333,7295976
TSLA,2019-05-16,229.49,231.0,226.5,228.33,15.222,7483273
TSLA,2019-05-17,221.96,222.24,208.92,211.03,14.0686666667,17786666
TSLA,2019-05-20,202.8,206.0,195.25,205.36,13.6906666667,20526195
TSLA,2019-05-21,197.76,207.4,196.04,205.08,13.672,18003899
TSLA,2019-05-22,199.1,203.94,191.78,192.73,12.8486666667,18685187
TSLA,2019-05-23,194.34,199.47,186.22,195.49,13.0326666667,26547142
TSLA,2019-05-24,199.83,199.98,188.75,190.63,12.7086666667,14136572
TSLA,2019-05-28,191.2,195.0,187.85,188.7,12.58,10312901
TSLA,2019-05-29,187.1,192.39,185.04,189.86,12.6573333333,11968638
TSLA,2019-05-30,188.75,192.26,187.02,188.22,12.548,7926475
TSLA,2019-05-31,185.1,189.92,184.1,185.16,12.344,10406732
TSLA,2019-06-03,185.51,186.68,176.99,178.97,11.9313333333,13064410
TSLA,2019-06-04,181.1,193.98,179.61,193.6,12.9066666667,13807522
TSLA,2019-06-05,198.68,201.28,191.85,196.59,13.106,13510756
TSLA,2019-06-06,204.44,211.0,201.8,205.95,13.73,20242151
TSLA,2019-06-07,205.0,210.8438,203.499,204.5,13.6333333333,16003527
TSLA,2019-06-10,210.25,216.94,209.01,212.88,14.192,10585039
TSLA,2019-06-11,219.14,220.9,213.5,217.1,14.4733333333,11653537
TSLA,2019-06-12,222.95,223.38,209.0,209.26,13.9506666667,15197544
TSLA,2019-06-13,210.38,214.9,207.51,213.91,14.2606666667,8168260
TSLA,2019-06-14,211.25,216.65,210.4,214.92,14.328,7433402
TSLA,2019-06-17,215.48,227.0,214.27,225.03,15.002,12316803
TSLA,2019-06-18,228.72,234.74,222.56,224.74,14.9826666667,12715788
TSLA,2019-06-19,225.11,227.77,221.06,226.43,15.0953333333,6575135
